SNR,Accuracy
-20.0,0.09772727272727273
-18.0,0.09727272727272727
-16.0,0.10136363636363636
-14.0,0.12772727272727272
-12.0,0.15636363636363637
-10.0,0.26227272727272727
-8.0,0.38727272727272727
-6.0,0.5027272727272727
-4.0,0.6486363636363637
-2.0,0.7831818181818182
0.0,0.8440909090909091
2.0,0.8809090909090909
4.0,0.889090909090909
6.0,0.9013636363636364
8.0,0.9086363636363637
10.0,0.9113636363636364
12.0,0.9113636363636364
14.0,0.9122727272727272
16.0,0.9095454545454545
18.0,0.9104545454545454
