SNR,Accuracy
-20.0,0.09818181818181818
-18.0,0.10681818181818181
-16.0,0.14772727272727273
-14.0,0.16818181818181818
-12.0,0.18136363636363637
-10.0,0.22227272727272726
-8.0,0.2818181818181818
-6.0,0.41363636363636364
-4.0,0.5845454545454546
-2.0,0.7422727272727273
0.0,0.8618181818181818
2.0,0.9213636363636364
4.0,0.9263636363636364
6.0,0.9281818181818182
8.0,0.9336363636363636
10.0,0.9372727272727273
12.0,0.9427272727272727
14.0,0.9427272727272727
16.0,0.9345454545454546
18.0,0.9418181818181818
