SNR,Accuracy
-20.0,0.09545454545454546
-18.0,0.09090909090909091
-16.0,0.09090909090909091
-14.0,0.11818181818181818
-12.0,0.13227272727272726
-10.0,0.21227272727272728
-8.0,0.3340909090909091
-6.0,0.5186363636363637
-4.0,0.6472727272727272
-2.0,0.7440909090909091
0.0,0.7959090909090909
2.0,0.8327272727272728
4.0,0.8409090909090909
6.0,0.8495454545454545
8.0,0.8504545454545455
10.0,0.8427272727272728
12.0,0.8513636363636363
14.0,0.8545454545454545
16.0,0.8459090909090909
18.0,0.8545454545454545
